k1	hom	lex	accented	index_token	stem_class	compound_members	irregularities
agnida		adj.	agnida	mfn·1+2	a-stem	agni+da	compound:2_members;tri_gender_adj
agnidagDa		adj.	agnidagDa/	mfn·1b+2	a-stem	agni+dagDa	compound:2_members;tri_gender_adj
agnidagDa		adj.	agni/dagDa	mfn·1a+2	a-stem	agni+dagDa	compound:2_members;tri_gender_adj
agnidatta		m.	agnidatta	m·1+2	a-stem	agni+datta	compound:2_members
agnidamanI		f.	agnidamanI	f·4+2	ī-stem	agni+damanI	compound:2_members
agnidIpana		adj.	agnidIpana	mfn·1+2	a-stem	agni+dIpana	compound:2_members;tri_gender_adj
agnidIpta		adj.	agnidIpta	mfn·1+2	a-stem	agni+dIpta	compound:2_members;tri_gender_adj
agnidIpti		f.	agnidIpti	f·3+2	i-stem	agni+dIpti	compound:2_members
agnidUta		adj.	agni/dUta	mfn·1a+2	a-stem	agni+dUta	compound:2_members;tri_gender_adj
agnidevA		f.	agnidevA	f·2+2	ā-stem	agni+devA	compound:2_members;ā_stem_f(§364)
agniD		m.	agni/D	m·8√b+2	consonant-stem	agni+D	compound:2_members
agniDAna		n.	agniDA/na	n·1a+2	a-stem	agni+DAna	compound:2_members
agninakzatra		n.	agninakzatra/	n·1b+2	a-stem	agni+nakzatra	compound:2_members
agninayana		n.	agninayana	n·1+2	a-stem	agni+nayana	compound:2_members
agniniryAsa		m.	agniniryAsa	m·1+2	a-stem	agni+niryAsa	compound:2_members
agninunna		adj.	agni/nunna	mfn·1a+2	a-stem	agni+nunna	compound:2_members;tri_gender_adj
agninetra		adj.	agni/netra	mfn·1a+2	a-stem	agni+netra	compound:2_members;tri_gender_adj
agniparikriyA		f.	agniparikriyA	f·2+2	ā-stem	agni+parikriyA	compound:2_members;ā_stem_f(§364)
agniparicCada		m.	agniparicCada	m·1+2	a-stem	agni+paricCada	compound:2_members
agniparvata		m.	agniparvata	m·1+2	a-stem	agni+parvata	compound:2_members
agnipurARa		n.	agnipurARa	n·1+2	a-stem	agni+purARa	compound:2_members
agnipraRayana		n.	agnipraRayana	n·1+2	a-stem	agni+praRayana	compound:2_members
agnipraRayanIya		adj.	agnipraRayanIya	mfn·1+2	a-stem	agni+praRayanIya	compound:2_members;tri_gender_adj
agnipraveSana		n.	agnipraveSana	n·1+2	a-stem	agni+praveSana	compound:2_members
agniprastara		m.	agniprastara	m·1+2	a-stem	agni+prastara	compound:2_members
agnibAhu		m.	agnibAhu	m·5+2	u-stem	agni+bAhu	compound:2_members
agniBa		n.	agniBa	n·1+2	a-stem	agni+Ba	compound:2_members
agniBu		adj.	agniBu	mfn·5+2	u-stem	agni+Bu	compound:2_members;tri_gender_adj
agniBU		adj.	agniBU	mfn·6+2	ū-stem	agni+BU	compound:2_members;tri_gender_adj
agniBUti		m.	agniBUti	m·3+2	i-stem	agni+BUti	compound:2_members
agniBrAjas		adj.	agni/BrAjas	mfn·8sa+2	consonant-stem	agni+BrAjas	compound:2_members;tri_gender_adj
agnimaRi		m.	agnimaRi	m·3+2	i-stem	agni+maRi	compound:2_members
agnimant		adj.	agnima/nt	mfn·8td*	consonant-stem		tri_gender_adj
agnimanTa		adj.	agnimanTa	mfn·1+2	a-stem	agni+manTa	compound:2_members;tri_gender_adj
agnimanTana		n.	agnimanTana	n·1+2	a-stem	agni+manTana	compound:2_members
agnimanTanIya		adj.	agnimanTanIya	mfn·1+2	a-stem	agni+manTanIya	compound:2_members;tri_gender_adj
agnimaya		adj.	agnimaya	mfn·1+2	a-stem	agni+maya	compound:2_members;tri_gender_adj
agnimAWara		m.	agnimAWara	m·1+2	a-stem	agni+mAWara	compound:2_members
agnimAndya		n.	agnimAndya	n·1+2	a-stem	agni+mAndya	compound:2_members
agnimAruti		m.	agnimAruti	m·3+2	i-stem	agni+mAruti	compound:2_members
agnimitra		m.	agnimitra	m·1+2	a-stem	agni+mitra	compound:2_members
agniminDa		m.	agniminDa/	m·1b+2	a-stem	agni+minDa	compound:2_members
agnimuKa		adj.	agnimuKa	mfn·1+2	a-stem	agni+muKa	compound:2_members;tri_gender_adj
agnimUQa		adj.	agni/mUQa	mfn·1a+2	a-stem	agni+mUQa	compound:2_members;tri_gender_adj
agniyuta		m.	agniyuta	m·1+2	a-stem	agni+yuta	compound:2_members
agniyojana		n.	agniyojana	n·1+2	a-stem	agni+yojana	compound:2_members
agnirakzaRa		n.	agnirakzaRa	n·1+2	a-stem	agni+rakzaRa	compound:2_members
agniraja		m.	agniraja	m·1+2	a-stem	agni+raja	compound:2_members
agnirahasya		n.	agnirahasya	n·1+2	a-stem	agni+rahasya	compound:2_members
agnirASi		m.	agnirASi	m·3+2	i-stem	agni+rASi	compound:2_members
agniruhA		f.	agniruhA	f·2+2	ā-stem	agni+ruhA	compound:2_members;ā_stem_f(§364)
agnirUpa		adj.	agni/rUpa	mfn·1a+2	a-stem	agni+rUpa	compound:2_members;tri_gender_adj
agniretasa		adj.	agniretasa/	mfn·1b+2	a-stem	agni+retasa	compound:2_members;tri_gender_adj
agniloka		m.	agniloka	m·1+2	a-stem	agni+loka	compound:2_members
agnivant		adj.	agniva/nt	mfn·8td*	consonant-stem		tri_gender_adj
agnivarcas		m.	agnivarcas	m·8s+2	consonant-stem	agni+varcas	compound:2_members
agnivarRa		adj.	agnivarRa	mfn·1+2	a-stem	agni+varRa	compound:2_members;tri_gender_adj
agnivarDaka		adj.	agnivarDaka	mfn·1+2	a-stem	agni+varDaka	compound:2_members;tri_gender_adj
agnivallaBa		m.	agnivallaBa	m·1+2	a-stem	agni+vallaBa	compound:2_members
agnivAyu		m.	agnivAyu	m·5	u-stem		
agnivAsas		adj.	agni/vAsas	mfn·8sa+2	consonant-stem	agni+vAsas	compound:2_members;tri_gender_adj
agnivAha		m.	agnivAha	m·1+2	a-stem	agni+vAha	compound:2_members
agnivindu		m.	agnivindu	m·5	u-stem		
agnivimocana		n.	agnivimocana	n·1+2	a-stem	agni+vimocana	compound:2_members
agniviharaRa		n.	agniviharaRa	n·1+2	a-stem	agni+viharaRa	compound:2_members
agnivIja		n.	agnivIja	n·1	a-stem		
agnivIrya		n.	agnivIrya	n·1+2	a-stem	agni+vIrya	compound:2_members
agniveSa		m.	agniveSa	m·1+2	a-stem	agni+veSa	compound:2_members
agniSaraRa		n.	agniSaraRa	n·1+2	a-stem	agni+SaraRa	compound:2_members
agniSarman		m.	agniSarman	m·8n*+2	consonant-stem	agni+Sarman	compound:2_members
agniSAla		n.	agniSA/la	n·1a+2	a-stem	agni+SAla	compound:2_members
agniSAlA		f.	agniSAlA	f·2+2	ā-stem	agni+SAlA	compound:2_members;ā_stem_f(§364)
agniSiKa		adj.	agniSiKa	mfn·1+2	a-stem	agni+SiKa	compound:2_members;tri_gender_adj
agniSiKA		f.	agniSiKA/	f·2b+2	ā-stem	agni+SiKA	compound:2_members;ā_stem_f(§364)
agniSuSrUzA		f.	agniSuSrUzA	f·2+2	ā-stem	agni+SuSrUzA	compound:2_members;ā_stem_f(§364)
agniSeKara		n.	agniSeKara	n·1+2	a-stem	agni+SeKara	compound:2_members
agniSeza		m.	agniSeza	m·1+2	a-stem	agni+Seza	compound:2_members
agniSrI		adj.	agniSrI/	mfn·4a+2	ī-stem	agni+SrI	compound:2_members;tri_gender_adj
agnizwut		m.	agnizwut	m·8√+2	consonant-stem	agni+zwut	compound:2_members
agnizwuB		m.	agnizwuB	m·8√	consonant-stem		
agnizwoma		m.	agnizwoma/	m·1b+2	a-stem	agni+zwoma	compound:2_members
agnizWa		adj.	agnizWa	mfn·1+2	a-stem	agni+zWa	compound:2_members;tri_gender_adj
agnizvAtta		adj.	agnizvAtta/	mfn·1b+2	a-stem	agni+zvAtta	compound:2_members;tri_gender_adj
agnisaMskAra		m.	agnisaMskAra	m·1+2	a-stem	agni+saMskAra	compound:2_members
agnisaMkASa		adj.	agni/saMkASa	mfn·1a+2	a-stem	agni+saMkASa	compound:2_members;tri_gender_adj
agnisaMBava		adj.	agnisaMBava	mfn·1	a-stem		tri_gender_adj
agnisahAya		m.	agnisahAya	m·1+2	a-stem	agni+sahAya	compound:2_members
agnisAkzika		adj.	agnisAkzika	mfn·1+2	a-stem	agni+sAkzika	compound:2_members;tri_gender_adj
agnisAra		n.	agnisAra	n·1+2	a-stem	agni+sAra	compound:2_members
agnisiMha		m.	agnisiMha	m·1+2	a-stem	agni+siMha	compound:2_members
agnisiMhanandana		m.	agnisiMhanandana	m·1	a-stem		
agnistamBa		m.	agnistamBa	m·1+2	a-stem	agni+stamBa	compound:2_members
agnisvAmin		m.	agnisvAmin	m·8i	consonant-stem		
agnihut		adj.	agnihu/t	mfn·8√b+2	consonant-stem	agni+hut	compound:2_members;tri_gender_adj
agnihotar		adj.	agni/hotar	mfn·8√a	consonant-stem		tri_gender_adj
agnihotra	1	m.	agnihotra/	m·1b+2	a-stem	agni+hotra	compound:2_members
agnihotra	2	adj.	agni/hotra	mfn·1a+2	a-stem	agni+hotra	compound:2_members;tri_gender_adj
agnihotrahavaRI		f.	agnihotraha/vaRI	f·4a	ī-stem		
agnihotrahut		adj.	agnihotrahu/t	mfn·8√b+3	consonant-stem	agni+hotra+hut	compound:3_members;tri_gender_adj
agnihotrAhuti		f.	agnihotrAhuti/	f·3b+2	i-stem	agni+hotrAhuti	compound:2_members
agnihotrin		adj.	agnihotrin	mfn·8i+2	consonant-stem	agni+hotrin	compound:2_members;tri_gender_adj
agnihotrocCizwa		n.	agnihotrocCizwa/	n·1b+2	a-stem	agni+hotrocCizwa	compound:2_members
agnID		m.	agnI/D	m·8√b	consonant-stem		
agnIDra		m.	agnIDra	m·1	a-stem		
agnIndra		m.	agnIndra/	m·1b	a-stem		
agnInDana		n.	agnInDana	n·1	a-stem		
agnIparjanya		m.	agnIparjanya	m·1	a-stem		
agnIya		adj.	agnI/ya	mfn·1a	a-stem		tri_gender_adj
agnIvaruRa		m.	agnIvaruRa	m·1	a-stem		
agnIzoma		m.	agnI/zo/ma	m·1a	a-stem		
agnIzomapraRayana		n.	agnIzomapraRayana	n·1	a-stem		
agnIzomIya		adj.	agnIzomI/ya	mfn·1a	a-stem		tri_gender_adj
agnIzomIyatva		n.	agnIzomIyatva	n·1	a-stem		
agnyagAra		m.	agnyagAra	m·1	a-stem		
agnyAgAra		m.	agnyAgAra	m·1	a-stem		
agnyAtmaka		adj.	agnyAtmaka	mfn·1	a-stem		tri_gender_adj
agnyADAna		n.	agnyADAna	n·1	a-stem		
agnyADeya		n.	agnyADe/ya	n·1a	a-stem		
agnyAlaya		m.	agnyAlaya	m·1	a-stem		
agnyAhita		adj.	agnyAhita	mfn·1	a-stem		tri_gender_adj
agnyutpAta		m.	agnyutpAta	m·1	a-stem		
agnyupasTAna		n.	agnyupasTAna/	n·1b	a-stem		
agnyeDa		m.	agnyeDa/	m·1b	a-stem		
agra	1	n.	a/gra	n·1a	a-stem		
agra	2	adj.	agra	mfn·1	a-stem		tri_gender_adj
agrakAya		m.	agrakAya	m·1+2	a-stem	agra+kAya	compound:2_members
agraga		m.	agraga	m·1+2	a-stem	agra+ga	compound:2_members
agragaRya		adj.	agragaRya	mfn·1+2	a-stem	agra+gaRya	compound:2_members;tri_gender_adj
agragAmin		m.	agragAmin	m·8i+2	consonant-stem	agra+gAmin	compound:2_members
agraja		adj.	agraja	mfn·1+2	a-stem	agra+ja	compound:2_members;tri_gender_adj
agrajaNGA		f.	agrajaNGA	f·2+2	ā-stem	agra+jaNGA	compound:2_members;ā_stem_f(§364)
agrajanman		m.	agrajanman	m·8n*+2	consonant-stem	agra+janman	compound:2_members
agrajA		adj.	agrajA/	mfn·2b+2	ā-stem	agra+jA	compound:2_members;tri_gender_adj
agrajAtaka		m.	agrajAtaka	m·1+2	a-stem	agra+jAtaka	compound:2_members
agrajAti		m.	agrajAti	m·3+2	i-stem	agra+jAti	compound:2_members
agrajihva		n.	agrajihva/	n·1b+2	a-stem	agra+jihva	compound:2_members
agraRI		adj.	agraRI	mfn·4+2	ī-stem	agra+RI	compound:2_members;tri_gender_adj
agraRIti		f.	a/graRIti	f·3a+2	i-stem	agra+RIti	compound:2_members
agratas		adv.	agrata/s	ind·0+2	indeclinable	agra+tas	compound:2_members
agrataHsara		adj.	agrataHsara	mfn·1	a-stem		tri_gender_adj
agradAnin		m.	agradAnin	m·8i+2	consonant-stem	agra+dAnin	compound:2_members
agranAsikA		f.	agranAsikA	f·2+2	ā-stem	agra+nAsikA	compound:2_members;ā_stem_f(§364)
agraparRI		f.	agraparRI	f·4+2	ī-stem	agra+parRI	compound:2_members
agrapUjA		f.	agrapUjA	f·2+2	ā-stem	agra+pUjA	compound:2_members;ā_stem_f(§364)
agrapeya		n.	agrapeya	n·1+2	a-stem	agra+peya	compound:2_members
agraBaRa		adj.	agraBaRa/	mfn·1b	a-stem		tri_gender_adj
agraBAga		m.	agraBAga	m·1+2	a-stem	agra+BAga	compound:2_members
agraBuj		adj.	agraBuj	mfn·8√+2	consonant-stem	agra+Buj	compound:2_members;tri_gender_adj
agramahizI		f.	agramahizI	f·4+2	ī-stem	agra+mahizI	compound:2_members
agramAMsa		n.	agramAMsa	n·1+2	a-stem	agra+mAMsa	compound:2_members
agrayAna		n.	agrayAna	n·1+2	a-stem	agra+yAna	compound:2_members
agrayAyin		adj.	agrayAyin	mfn·8i+2	consonant-stem	agra+yAyin	compound:2_members;tri_gender_adj
agrayAvan		adj.	agrayA/van	mfn·8na*+2	consonant-stem	agra+yAvan	compound:2_members;tri_gender_adj
agrayoDin		m.	agrayoDin	m·8i+2	consonant-stem	agra+yoDin	compound:2_members
agralohitA		f.	agralohitA	f·2+2	ā-stem	agra+lohitA	compound:2_members;ā_stem_f(§364)
agravIja		adj.	agravIja	mfn·1	a-stem		tri_gender_adj
agravIra		m.	agravIra	m·1	a-stem		
agrasaMDAnI		f.	agrasaMDAnI	f·4+2	ī-stem	agra+saMDAnI	compound:2_members
agrasaMDyA		f.	agrasaMDyA	f·2	ā-stem		ā_stem_f(§364)
agrasara		adj.	agrasara	mfn·1+2	a-stem	agra+sara	compound:2_members;tri_gender_adj
agrasArA		f.	agrasArA	f·2+2	ā-stem	agra+sArA	compound:2_members;ā_stem_f(§364)
agraha		m.	agraha	m·1	a-stem		
agrahasta		m.	agrahasta	m·1+2	a-stem	agra+hasta	compound:2_members
agrahAyaRa		m.	agrahAyaRa	m·1+2	a-stem	agra+hAyaRa	compound:2_members
agrahAra		m.	agrahAra	m·1+2	a-stem	agra+hAra	compound:2_members
agrAkzan		n.	agrAkzan	n·8n*	consonant-stem		
agrAdvan		adj.	agrAdvan	mfn·8n*	consonant-stem		tri_gender_adj
agrAyaRIya		n.	agrAyaRIya	n·1	a-stem		
agrAhin		adj.	agrAhin	mfn·8i	consonant-stem		tri_gender_adj
agrAhya		adj.	agrAhya	mfn·1	a-stem		tri_gender_adj
agrima		adj.	agrima/	mfn·1b	a-stem		tri_gender_adj
agriya		adj.	agriya/	mfn·1b	a-stem		tri_gender_adj
agrIya		adj.	agrI/ya	mfn·1a	a-stem		tri_gender_adj
agru		adj.	a/gru	mfn·5a	u-stem		tri_gender_adj
agrega		adj.	agrega/	mfn·1b+2	a-stem	agre+ga	compound:2_members;tri_gender_adj
agregA		adj.	agregA	mfn·2+2	ā-stem	agre+gA	compound:2_members;tri_gender_adj
agregU		adj.	agregU/	mfn·6a+2	ū-stem	agre+gU	compound:2_members;tri_gender_adj
agreRI		m.	agreRI/	m·4a+2	ī-stem	agre+RI	compound:2_members
agretvan		adj.	agre/tvan	mfn·8na*	consonant-stem		tri_gender_adj
agrediDizu		m.	agrediDizu	m·5+2	u-stem	agre+diDizu	compound:2_members
agrepA		adj.	agrepA/	mfn·2b+2	ā-stem	agre+pA	compound:2_members;tri_gender_adj
agrepU		adj.	agrepU/	mfn·6a+2	ū-stem	agre+pU	compound:2_members;tri_gender_adj
agreBrU		adj.	agreBrU	mfn·6+2	ū-stem	agre+BrU	compound:2_members;tri_gender_adj
agrevaRa		n.	agrevaRa	n·1+2	a-stem	agre+vaRa	compound:2_members
agrevaDa		adj.	agrevaDa/	mfn·1b+2	a-stem	agre+vaDa	compound:2_members;tri_gender_adj
agresara		adj.	agresara	mfn·1+2	a-stem	agre+sara	compound:2_members;tri_gender_adj
agresarika		adj.	agresarika	mfn·1+2	a-stem	agre+sarika	compound:2_members;tri_gender_adj
agropaharaRa		n.	agropaharaRa	n·1	a-stem		
agropaharaRIya		adj.	agropaharaRIya	mfn·1	a-stem		tri_gender_adj
agrya		adj.	a/grya	mfn·1a	a-stem		tri_gender_adj
aGa		adj.	aGa/	mfn·1b	a-stem		tri_gender_adj
aGakft		adj.	aGakf/t	mfn·8√b+2	consonant-stem	aGa+kft	compound:2_members;tri_gender_adj
aGana		adj.	aGana	mfn·1	a-stem		tri_gender_adj
aGamarzaRa		m.f.n.	aGamarzaRa	mfn·1+2	a-stem	aGa+marzaRa	compound:2_members;tri_gender_adj
aGamAra		adj.	aGamAra/	mfn·1b+2	a-stem	aGa+mAra	compound:2_members;tri_gender_adj
aGarud		adj.	aGaru/d	mfn·8√b+2	consonant-stem	aGa+rud	compound:2_members;tri_gender_adj
aGala		adj.	aGala/	mfn·1b	a-stem		tri_gender_adj
aGavant		adj.	aGa/vant	mfn·8ta*	consonant-stem		tri_gender_adj
aGaviza		adj.	aGa/viza	mfn·1a+2	a-stem	aGa+viza	compound:2_members;tri_gender_adj
aGaSaMsa		adj.	aGa/SaMsa	mfn·1a+2	a-stem	aGa+SaMsa	compound:2_members;tri_gender_adj
aGaSaMsahan		adj.	aGaSaMsaha/n	mfn·8nd*+2	consonant-stem	aGa+SaMsahan	compound:2_members;tri_gender_adj
aGaSaMsin		adj.	aGaSaMsin	mfn·8i+2	consonant-stem	aGa+SaMsin	compound:2_members;tri_gender_adj
aGahAra		m.	aGahAra/	m·1b+2	a-stem	aGa+hAra	compound:2_members
aGAtin		adj.	aGAtin	mfn·8i	consonant-stem		tri_gender_adj
aGArin		adj.	aGAri/n	mfn·8ib	consonant-stem		tri_gender_adj
aGASva		adj.	aGA/Sva	mfn·1a	a-stem		tri_gender_adj
aGASva		m.	aGASva/	m·1b	a-stem		
aGAsura		m.	aGAsura	m·1	a-stem		
aGora		adj.	a/Gora	mfn·1a	a-stem		tri_gender_adj
aGoraGorarUpa		m.	aGoraGorarUpa	m·1+2	a-stem	aGora+GorarUpa	compound:2_members
aGoracakzus		adj.	a/Goracakzus	mfn·8sa+2	consonant-stem	aGora+cakzus	compound:2_members;tri_gender_adj
aGoza	1	m.	aGoza	m·1	a-stem		
aGoza	2	adj.	aGoza	mfn·1	a-stem		tri_gender_adj
aGozamahAprARaprayatnavant		adj.	aGozamahAprARaprayatnavant	mfn·8t*	consonant-stem		tri_gender_adj
aGozavant		adj.	aGozavant	mfn·8t*	consonant-stem		tri_gender_adj
aGnant		adj.	a/Gnant	mfn·8ta*	consonant-stem		tri_gender_adj
aGnya		m.	a/Gnya	m·1a	a-stem		
aGnya		m.	aGnya/	m·1b	a-stem		
aGreya		adj.	aGreya	mfn·1	a-stem		tri_gender_adj
aNka		m.	aNka/	m·1b	a-stem		
aNkakaraRa		n.	aNkakaraRa	n·1+2	a-stem	aNka+karaRa	compound:2_members
aNkatantra		n.	aNkatantra	n·1+2	a-stem	aNka+tantra	compound:2_members
aNkati		m.	aNka/ti	m·3a	i-stem		
aNkaDAraRA		f.	aNkaDAraRA	f·2+2	ā-stem	aNka+DAraRA	compound:2_members;ā_stem_f(§364)
aNkana		adj.	aNkana	mfn·1	a-stem		tri_gender_adj
aNkapAdavrata		n.	aNkapAdavrata	n·1+2	a-stem	aNka+pAdavrata	compound:2_members
aNkapAli		f.	aNkapAli	f·3+2	i-stem	aNka+pAli	compound:2_members
aNkapAlikA		f.	aNkapAlikA	f·2+2	ā-stem	aNka+pAlikA	compound:2_members;ā_stem_f(§364)
aNkapAlI		f.	aNkapAlI	f·4+2	ī-stem	aNka+pAlI	compound:2_members
aNkabanDa		m.	aNkabanDa	m·1+2	a-stem	aNka+banDa	compound:2_members
aNkaloqya		m.	aNkaloqya	m·1+2	a-stem	aNka+loqya	compound:2_members
aNkas		n.	a/Nkas	n·8sa	consonant-stem		
aNkANka		n.	aNkANka/	n·1b	a-stem		
aNkin		adj.	aNki/n	mfn·8ib	consonant-stem		tri_gender_adj
aNkI		f.	aNkI	f·4	ī-stem		
aNkuwa		m.	aNkuwa	m·1	a-stem		
aNkupa		n.	aNkupa/	n·1b	a-stem		
aNkura		m.	aNkura/	m·1b	a-stem		
aNkuraka		m.	aNkuraka	m·1	a-stem		
aNkurita		adj.	aNkurita/	mfn·1b	a-stem		tri_gender_adj
aNkuSa		m.n.	aNkuSa/	mn·1b	a-stem		m_n_common
aNkuSagraha		m.	aNkuSagraha	m·1+2	a-stem	aNkuSa+graha	compound:2_members
aNkuSadurDara		m.	aNkuSadurDara	m·1+2	a-stem	aNkuSa+durDara	compound:2_members
aNkuSita		adj.	aNkuSita	mfn·1	a-stem		tri_gender_adj
aNkuSin		adj.	aNkuSi/n	mfn·8ib	consonant-stem		tri_gender_adj
aNkUra		m.	aNkUra/	m·1b	a-stem		
aNkUza		m.n.	aNkUza	mn·1	a-stem		m_n_common
aNkowa		m.	aNkowa	m·1	a-stem		
aNkoWa		m.	aNkoWa	m·1	a-stem		
aNkola		m.	aNkola	m·1	a-stem		
aNkolaka		m.	aNkolaka	m·1	a-stem		
aNkolikA		f.	aNkolikA	f·2	ā-stem		ā_stem_f(§364)
aNkollasAra		m.	aNkollasAra	m·1	a-stem		
aNkya	1	m.	aNkya	m·1	a-stem		
aNkya	2	adj.	aNkya	mfn·1	a-stem		tri_gender_adj
aNga	1	indecl.	aNga/	ind·0	indeclinable		
aNga	2	m.	a/Nga	m·1a	a-stem		
aNga	3	n.	a/Nga	n·1a	a-stem		
aNga	4	adj.	aNga/	mfn·1b	a-stem		tri_gender_adj
aNgaka		n.	aNgaka	n·1	a-stem		
aNgagraha		m.	aNgagraha	m·1+2	a-stem	aNga+graha	compound:2_members
aNgaja		adj.	aNgaja	mfn·1+2	a-stem	aNga+ja	compound:2_members;tri_gender_adj
aNgajanus		m.	aNgajanus	m·8s+2	consonant-stem	aNga+janus	compound:2_members
aNgajvara		adj.	aNgajvara/	mfn·1b+2	a-stem	aNga+jvara	compound:2_members;tri_gender_adj
aNgaRa		n.	aNgaRa	n·1	a-stem		
aNgati		m.	aNgati	m·3	i-stem		
aNgada		m.	aNgada	m·1+2	a-stem	aNga+da	compound:2_members
aNgadvIpa		m.	aNgadvIpa	m·1+2	a-stem	aNga+dvIpa	compound:2_members
aNgana		n.	aNgana	n·1	a-stem		
aNganApriya		adj.	aNganApriya	mfn·1	a-stem		tri_gender_adj
aNgapAli		m.	aNgapAli	m·3+2	i-stem	aNga+pAli	compound:2_members
aNgaBeda		adj.	aNgaBeda/	mfn·1b+2	a-stem	aNga+Beda	compound:2_members;tri_gender_adj
aNgamarda		m.	aNgamarda	m·1+2	a-stem	aNga+marda	compound:2_members
aNgamardaka		m.	aNgamardaka	m·1+2	a-stem	aNga+mardaka	compound:2_members
aNgamardin		m.	aNgamardin	m·8i+2	consonant-stem	aNga+mardin	compound:2_members
aNgarakta		m.	aNgarakta	m·1+2	a-stem	aNga+rakta	compound:2_members
aNgarakzaRI		f.	aNgarakzaRI	f·4+2	ī-stem	aNga+rakzaRI	compound:2_members
aNgarAga		m.	aNgarAga	m·1+2	a-stem	aNga+rAga	compound:2_members
aNgarAj		m.	aNgarAj	m·8√+2	consonant-stem	aNga+rAj	compound:2_members
aNgaruha		adj.	aNgaruha	mfn·1+2	a-stem	aNga+ruha	compound:2_members;tri_gender_adj
aNgalipi		f.	aNgalipi	f·3+2	i-stem	aNga+lipi	compound:2_members
aNgalIyalipi		f.	aNgalIyalipi	f·3	i-stem		
aNgaloka		m.	aNgaloka	m·1+2	a-stem	aNga+loka	compound:2_members
aNgaloqya		m.	aNgaloqya	m·1+2	a-stem	aNga+loqya	compound:2_members
aNgava		m.	aNgava	m·1	a-stem		
aNgavikfti		f.	aNgavikfti	f·3+2	i-stem	aNga+vikfti	compound:2_members
aNgavikzepa		m.	aNgavikzepa	m·1+2	a-stem	aNga+vikzepa	compound:2_members
aNgavidyA		f.	aNgavidyA	f·2+2	ā-stem	aNga+vidyA	compound:2_members;ā_stem_f(§364)
aNgavEkfta		n.	aNgavEkfta	n·1+2	a-stem	aNga+vEkfta	compound:2_members
aNgasaMskAra		m.	aNgasaMskAra	m·1+2	a-stem	aNga+saMskAra	compound:2_members
aNgasaMskriyA		f.	aNgasaMskriyA	f·2+2	ā-stem	aNga+saMskriyA	compound:2_members;ā_stem_f(§364)
aNgahAra		m.	aNgahAra	m·1+2	a-stem	aNga+hAra	compound:2_members
aNgahAri		m.	aNgahAri	m·3+2	i-stem	aNga+hAri	compound:2_members
aNgahIna		adj.	aNgahIna	mfn·1+2	a-stem	aNga+hIna	compound:2_members;tri_gender_adj
aNgahInatva		n.	aNgahInatva	n·1	a-stem		
aNgADipa		m.	aNgADipa	m·1	a-stem		
aNgAra		m.n.	a/NgAra	mn·1a	a-stem		m_n_common
aNgAraka		m.	aNgAraka	m·1	a-stem		
aNgArakamaRi		m.	aNgArakamaRi	m·3+2	i-stem	aNgAraka+maRi	compound:2_members
aNgArakita		adj.	aNgArakita/	mfn·1b	a-stem		tri_gender_adj
aNgArakuzWaka		m.	aNgArakuzWaka	m·1+2	a-stem	aNgAra+kuzWaka	compound:2_members
aNgAraDAnikA		f.	aNgAraDAnikA	f·2+2	ā-stem	aNgAra+DAnikA	compound:2_members;ā_stem_f(§364)
aNgAraDAnI		f.	aNgAraDAnI	f·4+2	ī-stem	aNgAra+DAnI	compound:2_members
aNgAraparipAcita		n.	aNgAraparipAcita	n·1+2	a-stem	aNgAra+paripAcita	compound:2_members
aNgAraparRa		m.	aNgAraparRa	m·1+2	a-stem	aNgAra+parRa	compound:2_members
aNgArapAtrI		f.	aNgArapAtrI	f·4+2	ī-stem	aNgAra+pAtrI	compound:2_members
aNgArapuzpa		m.	aNgArapuzpa	m·1+2	a-stem	aNgAra+puzpa	compound:2_members
aNgAramaYjI		f.	aNgAramaYjI	f·4+2	ī-stem	aNgAra+maYjI	compound:2_members
aNgAravallarI		f.	aNgAravallarI	f·4+2	ī-stem	aNgAra+vallarI	compound:2_members
aNgAravallI		f.	aNgAravallI	f·4+2	ī-stem	aNgAra+vallI	compound:2_members
aNgAraSakawI		f.	aNgAraSakawI	f·4+2	ī-stem	aNgAra+SakawI	compound:2_members
aNgArAvakzayaRa		n.	aNgArAvakzayaRa	n·1	a-stem		
aNgAri		f.	aNgAri	f·3	i-stem		
aNgArikA		f.	aNgArikA	f·2	ā-stem		ā_stem_f(§364)
aNgAriRI		f.	aNgAriRI	f·4	ī-stem		
aNgArita		adj.	aNgArita/	mfn·1b	a-stem		tri_gender_adj
aNgArIya		adj.	aNgArI/ya	mfn·1a	a-stem		tri_gender_adj
aNgAryA		f.	aNgAryA/	f·2b	ā-stem		ā_stem_f(§364)
aNgikA		f.	aNgikA	f·2	ā-stem		ā_stem_f(§364)
aNgin		adj.	aNgin	mfn·8i	consonant-stem		tri_gender_adj
aNgir		m.	aNgir	m·8√	consonant-stem		
aNgira		m.	a/Ngira	m·1a	a-stem		
aNgiras		m.	a/Ngiras	m·8sa	consonant-stem		
aNgirasa		m.	aNgirasa	m·1	a-stem		
aNgirasAmayana		n.	aNgirasAmayana	n·1	a-stem		
aNgirastama		adj.	aNgirastama	mfn·1+2	a-stem	aNgiras+tama	compound:2_members;tri_gender_adj
aNgirasvat		adv.	aNgirasva/t	ind·0+2	indeclinable	aNgiras+vat	compound:2_members
